c_id;c_text;date;conv_id;Ambiguous;Objective;Subjective;Generalisation0;Generalisation1;Generalisation2;Generalisation3
1391717608802631681;Wer so ein Profilbild wie sie hochlädt kann nur ein Psycho sein die ist bestimmt voll behindert;10.05.2021 11:31;;0.0;0.0;1.0;0;0;0;1
1389188826799673345;Willst du jetzt etwa behaupten das Querdenker irgendetwas außer totalen Geistigen Müll zu Tage fördern. Schau mal unter die Tweets von Herrn Lauterbach. So viel Müll sieht nichtmal ein Müllmann in New York an einem Tag.;03.05.2021 12:03;;1.0;0.0;1.0;0;0;0;1
1385241285645291521;Aber Bild hat doch gerade deswegen und diesbezüglich gesagt, dass man nicht mehr #HaltDieFresseBild sagen soll. Ja, was denn nun?;22.04.2021 14:37;;0.0;1.0;1.0;0;1;0;0
1385240437988986887;Das sehe ich auch genau so. Dieser Brinkhaus ist einfach nur unterste Schublade. Die AfD darf sich aber von so einem Hetzer nicht alles gefallen lassen. !;22.04.2021 14:33;;1.0;0.0;1.0;1;0;0;0
1389640445790199809;Mit den Milliarden Unterstützungsgeldern die sie kassieren könnten die sich soviel Impfstoff kaufen um darin zu baden ... aber diese Gelder werden von den korrupten Politikern unterschlagen ... Israel soll sie impfen, ausgenommen Politiker und das Gesindel der Hamas;04.05.2021 17:57;;0.0;0.0;1.0;0;0;1;0
1398577813121388545;Neue Einnahmequelle: Bei eBay gefälschte leere Impfausweise für teuer Geld an QAnon-Leute verticken. 😬✌️;29.05.2021 09:51;;0.0;0.0;1.0;0;1;0;0
1389227696069165062;Strahlemann offizieller troll gegen alles außer AfD. Promoviert in Wutbürgerei. 😂😂😂😂#impfen #scheissegal;03.05.2021 14:37;;1.0;0.0;1.0;0;1;0;0
1387025131080409092;Fresse halten, asoziales dummes Stück Vieh.;27.04.2021 12:45;;1.0;0.0;1.0;1;0;0;0
1385297471677550596;"Wirst du auch nicht finden. Aber wenn ich helfen kann, diese schmierige Bagage mehr oder weniger korrupter herzloser Menschen wie Laschet, Scheuer, Klöckner und wie die Klapperköppe alle heißen, von weitere ""Regierungserfahrung"" fernzuhalten, werfe ich mich aufs Feld.";22.04.2021 18:20;;1.0;0.0;1.0;0;0;1;0
1385255446588624898;#Bundesnotbremse tangiert mich peripher, da ich sowieso 22/7 mit dem Arsch zu Hause hocke. Jedoch hasse ich Bevormundungen jeglicher Art. DAS ist die größte Bevormundung, die ich jemals erlebt habe.;22.04.2021 15:33;;0.0;0.0;1.0;1;0;0;0
1391827889327378432;Zur Info für #CDU'ler und #FDP'ler: #Neubauer hat Arschloch #Maaßen nicht als Antisemit bezeichnet. Und jetzt haltet gepflegt die Fresse. #CDUrausausderRegierung #WegMitDerFdP #AnneWill;10.05.2021 18:50;;0.0;0.0;1.0;0;0;1;0
1394963859216142340;Antisemitismus als Erlebnisorientierung!;19.05.2021 10:31;;1.0;0.0;0.0;1;0;0;0
1388502805384675328;Und die letzten die übrigens geschl. Vielfalt verboten und Schwule ,Lesbische,bi und Trans Menschen getötet haben waren Nazis. Wenn du Geschichte verdrehen musst um auf der richtigen Seite zu stehen bist du entweder bösartig oder kannst gut und böse nicht unterscheiden.;01.05.2021 14:37;;0.0;1.0;0.0;1;0;0;0
1389099184805011457;Dem schließe ich mich mit einem #HaltDieFresseBild an. Diese Zeitung ist unmöglich.;03.05.2021 06:07;;1.0;0.0;1.0;0;0;1;0
1393389520985464832;Israel verletzt die Menschenrechte und die Rechte der Kinder. Es hat Palästina seit Jahren besetzt. Gaza tötet auch unschuldige Kinder. Bitte schweigen Sie nicht über dieses Problem! #HearGaza;15.05.2021 02:15;;0.0;1.0;1.0;0;1;0;0
1388544072516833282;Hauptsache gegen Israel, Christen und Konservative! Solche Menschen würden wahrscheinlich auch für den IS und al-Qaida demonstrieren, wenn es gegen o.g. geht.;01.05.2021 17:21;;0.0;0.0;1.0;0;0;1;0
1389586611940347907;Seit 12 Jahren beobachtet was ich Thor studiere und veränderte es gleich ins System Merkel imitat vom Himmel und beobachtete wie ich Gefahren wegbrachte das es nicht zum Ende kommt aber bei der Schuldfrage vom versagen beschädigte ihr mich Feige BRD in der Falschheit eures Lebens;04.05.2021 14:24;;1.0;0.0;1.0;0;1;0;0
1406497399783280640;Über die Wortwahl kann man diskutieren, die is wahrlich etwas unbedacht, in der Sache an sich hat schon recht, die Anti-Ungarn-Politik hat im Fußball nicht zu suchen!!! Und ich bin bei dem Spiel folglich Ungarn-Fan, der Politik wegen!!!;20.06.2021 06:21;1.4063533555391037e+18;0.0;1.0;1.0;1;0;0;0
1389192821136105473;Das war der Möchtegern Kanzler sagt ist völliger Blödsinn. Hier werden #Querdenker als #Coronaleugner diffamiert, was nicht der Wahrheit entspricht. Die Parteiliche Presse provoziert doch mit Absicht die Leute um Gewalt erzeugen zu können. #SPDverbieten;03.05.2021 12:19;;0.0;0.0;1.0;0;0;1;0
1392930953849360385;Auch Vortäuschung ist ein Ausschlussgrund #Baerbock;13.05.2021 19:53;;1.0;0.0;1.0;1;0;0;0
1396430369386385410;Wie es aussieht kommt es wohl wieder mal dazu und wer es aufzeigt ist dann ein nazi.;23.05.2021 11:38;;1.0;0.0;1.0;0;0;1;0
1390558372819312643;Baerbock seit Kür zur Kanzlerkandidatin vermehrt Opfer von Hassattacken - via Frauenhass???? Die Deutschen bekommen mit, wie schlecht diese Frau wirklich ist. Die cleverste ist sie wahrlich nicht!!!!!!;07.05.2021 06:45;;1.0;0.0;1.0;0;0;0;1
1405292264260194304;Antisemiten sollte man keine Bühne geben, finde ich. Roger Waters hasst MZ ja nicht, weil sein Unternehmen fragwürdige Dinge tut, sondern weil er Jude ist.;16.06.2021 22:32;1.4052897179443732e+18;0.0;1.0;1.0;1;0;0;0
1385126008722968580;seit einer woche wieder arbeiten das erste was ich mache caprisonne auf meinem schreibtisch verteilen weil ich zu behindert zum trinken bin;22.04.2021 06:59;;0.0;0.0;1.0;1;0;0;0
1385342580712525824;In Germany we don‘t say „die Ausgangssperre ist aus wissenschaftlicher Sicht sinnlos“, we say „sollen die rääächten Querdenker und Covidioten überall beschimpft, verfolgt und geächtet werden!“ and I think that sounds like we have a heart at the right place. #allesdichtmachen;22.04.2021 21:19;;1.0;0.0;1.0;0;0;1;0
1385260087976026116;Als wenn der etwas anderes sagt als die Merkel. Lach mich Tod. Auch so nen Schwätzer vor dem Herren;22.04.2021 15:51;;1.0;0.0;1.0;0;1;0;0
1397972935458144259;So if Donald Trump haven't been POTUS back then, he would have almost died of CoVid19, njet? (Ich möchte hiermit teilweise ablenken von einer Diskussion über Katholizismus.);27.05.2021 17:48;;1.0;0.0;1.0;1;0;0;0
1385342546755395585;Wenn man als Querdenker bezeichnet wird ist das eine Auszeichnung. Du hast damit den Bundesverdienst Orden erhalten. Leider darfst du Ihn dir nicht selber verleihen, das müssen andere Menschen die Denker in Schubladen stecken für dich machen....;22.04.2021 21:19;;1.0;0.0;1.0;0;0;1;0
1388597994400980992;Schätzchen... die „Süsse“ ist Jahrgang 69 Mit 1,0 Abi anno 87 Bevor du mir ans Bein pinkeln kannst, schneit es in der Hölle Oreos. Also... erklär doch mal ner alten Frau, wie du auf das schmale Brett kommst, „die Antifa“ wäre eine homogene Gruppe.;01.05.2021 20:55;;1.0;0.0;1.0;0;1;0;0
1388448149480644611;Der Fuchs ist schlau und stellt sich dumm, bei baerbock ist es andersrum;01.05.2021 11:00;;0.0;0.0;1.0;1;0;0;0
1388385847175753729;Kann es sein das Dir die Trump Niederlage immer noch aufs Hirn drückt Du kleiner AfD Fan Boy?;01.05.2021 06:52;;1.0;0.0;1.0;0;0;1;0
1390627557847015425;4.) Das ist ja genügend sichtbar an den Zahlen. Wenn Merkel so weitermacht, wird die CDU/CSU bei ca. 20% hängen bleiben und das ist zu wenig.;07.05.2021 11:20;;0.0;1.0;1.0;0;1;0;0
1390717196725276673;"Almans sind rassistisch, sexistisch, homophob, haben Angst vor ""Gendergaga"", finde es okay sas woanders Menschen ausgebeutet und strukturell abgewertet werden, aber wehe einer wird mal laut mit der Stimme und sagt ein Schimpfwort. ..";07.05.2021 17:16;;1.0;0.0;1.0;0;0;0;1
1391751352867561476;Natürlich stört sich daran. Die will lieber, dass Kinder ab 14 sich mit Alkohol das Hirn wegsaufen. Nur wer durch Alk verblödet ist, wählt auch weiterhin die Säufer-Partei . #NieMehrCDUCSU #CDUKorruption;10.05.2021 13:45;;0.0;0.0;1.0;0;0;0;1
1388520172823228418;Was für eine ekelhafte Berichterstattung über die Aktion #allesdichtmachen der Künstler. So ein verlogenes Schmierentheater gibt es eben nur in den Lügenmedien des Staatsfunkes. Jeden normalen Menschen müßte dieser widerliche Beitrag ankotzen. Ekelhaftes Gesindel;01.05.2021 15:46;;1.0;0.0;1.0;0;0;1;0
1393479877886623753;spiegelonline hat eine Headline geändert. Nahostkonflikt: Kämpfe zwischen Israel und Palästinensern dauern an – Hoffnung auf Waffenruhe Alle Änderungen auf;15.05.2021 08:14;;0.0;1.0;0.0;1;0;0;0
1388397582360141824;Im Übrigen finde ich nicht, dass hier die Bundes-@CDU hätte eingreifen müssen. Das hätte man in Thüringen tun müssen. Die Frage ist ja, ob die CDU im Osten radikale Wessis braucht, um Wahlen zu gewinnen. Das wäre bitter!;01.05.2021 07:39;1.3883966155815444e+18;1.0;0.0;1.0;0;0;1;0
1388494896739332098;Wer genau sind denn ‚viele‘ Leute? Behauptungen sind toll. Ich behaupte, dass ‚ wesentlich mehr‘ Leute, nämlich nahezu die gesamte Bevölkerung, genug Geld für Heizung und Strom haben.;01.05.2021 14:05;1.3884540086842204e+18;0.0;0.0;1.0;0;0;0;1
1389614058064723972;Da sieht man, wie sehr die #CDU die #Klimakrise ernst nimmt: Einen Scheißdreck interessiert es die.;04.05.2021 16:13;;0.0;0.0;1.0;0;1;0;0
1392153944361771018;Sie scheinen ja nicht nur sehr selektiv zu sehen (z.B. keine Rechtsextremen auf Quarkdenker Demos) sondern auch zu lesen. Das positiver Test gleich Erkrankung, oder auch gleich Infektiös sind Aussagen die Quarkdenker gerne fälschlich unterstellen;11.05.2021 16:25;1.3921528595259105e+18;0.0;0.0;1.0;0;0;1;0
1394285310465433600;Mutation B1617: Großbritannien setzt auf Impfschutz vor der Variante #B1617 #B16172 #UK #Grossbritannien #mutationcovid19 #coronavirus;17.05.2021 13:34;;0.0;1.0;0.0;1;0;0;0
1384269766752227342;Irgendwie zeigen mir diese minütlichen Informationen, dass es ein #Loch in der #noCDU #Spitze gibt. Und das Loch kommuniziert mit irgendeinem Günstling eines #Verlags um hier möglicherweise #Auflage zu produzieren. 🤡🤡🤡 #cdukorrupt #BaerbockforKanzlerin;19.04.2021 22:16;;1.0;0.0;1.0;1;0;0;0
1384278814306357251;Söder kann trotzdem jubeln, im Stillen vorerst natürlich😈. Der wird der CDU und Laschet von jetzt an penetrant im Nacken sitzen und die vor sich hertreiben. Ziel erreicht, Machtposition gefestigt. Viel Vergnügen, Laschet ..🤪;19.04.2021 22:52;;0.0;0.0;1.0;0;1;0;0
1384148505913040901;Also Söder ist schon nicht datt Gelbe vom Ei als Kanzler, aber wie sehen die Alternativen aus ? Küchenbauer -Wichtel Laschet oder Dumm-Kobold Baerbock. Wie seht Ihr datt?;19.04.2021 14:14;;1.0;0.0;1.0;0;1;0;0
1391812277406507009;Viele dachten, es wäre eine Solidaritätsbekundung für die Black-Lives-Matter-Bewegung.;10.05.2021 17:48;;0.0;0.0;1.0;0;1;0;0
1390535781429792769;Was ist so schlimm an Querdenker ,sie stehen doch für freiheitsrechte für alle ein auch für ihre ,wenn sie lieber in einer anderen Epoche leben wollen gerne einfach mal hirn benutzen und nicht nur die Staatsmedien schauen;07.05.2021 05:15;;0.0;0.0;1.0;0;1;0;0
1391346161332756481;Wie helfen dabei diese Punkte aus eurem Wahlprogramm? Gerne frei in eigenen Worten 😂;09.05.2021 10:55;1.3913275364125614e+18;0.0;1.0;1.0;0;1;0;0
1389116100328271877;Querdenker sind Menschen die Meinungsfreiheit schützen .Da sollen sich die Antifa Chaoten ein Beispiel nehmen 👨🏼‍💻;03.05.2021 07:14;;0.0;0.0;1.0;0;0;1;0
1388284139854520324;Langzeit- & Spätschäden von #COVID19 werden wir erst nach Jahren einschätzen können. Deshalb ist das Sicherste sich nicht zu infizieren. Es ist ein großer Feldversuch. Kinder sind Labormäuse🐭 Wir die Affen🐒 Wir müssen schützen, impfen, forschen & hoffen, dass alles gut wird🙏;01.05.2021 00:08;;0.0;1.0;1.0;0;0;1;0
1389099153301573632;Frau #Baerbock ist noch nicht einmal gewählt und schon zittern die ganzen Versager in Deutschland vor ihr. Allen voran die #Bande33 von der #AfD und die widerliche #HaltDieFresseBild #HaltDieFresseSpringerPresse #haltdiefresseAfD;03.05.2021 06:07;;0.0;1.0;1.0;0;0;0;0
1385338176059944966;Diese heuchlerische Moralapostel 🔴🔴🔴-bubble, die jetzt Schauspieler unter #allesdichtmachen #lockdownfuerimmer diskreditiert. Es sterben jedes fucking Jahr 300.000 Menschen an Krebs! Ihr seid die Heuchler. Und nach Corona ist für echt die Welt wieder okay, nicht wahr? Pervers.;22.04.2021 21:02;;0.0;0.0;1.0;0;0;1;0
